Id,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Val,SalePrice,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Land Slope_Mod,Land Slope_Sev,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Paved Drive_P,Paved Drive_Y,Total square ft,Total baths,Has Central Air,Has Garage,Has Fence,Age
109,533352170,60,0.0,13517,6,8,2005,289.0,4,3,3,3,5,725,754,0,1479,3,1,4,6,0,0,2.0,475.0,3,3,0,44,0,0,0,0,0,0,130500,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1523,3,1,1,0,45
544,531379050,60,43.0,11492,7,5,1997,132.0,4,3,4,3,5,913,1209,0,2122,4,1,4,8,1,3,2.0,559.0,3,3,0,74,0,0,0,0,0,0,220000,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2196,3,1,1,0,25
153,535304180,20,68.0,7922,5,7,2007,0.0,3,4,3,3,3,1057,0,0,1057,3,1,4,5,0,0,1.0,246.0,3,3,0,52,0,0,0,0,0,0,109000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1109,1,1,1,0,68
318,916386060,60,73.0,9802,5,5,2007,0.0,3,3,4,3,4,744,700,0,1444,3,1,3,7,0,0,2.0,400.0,3,3,100,0,0,0,0,0,0,0,174000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1544,3,1,1,0,15
255,906425045,50,82.0,14235,6,8,1993,0.0,3,3,2,4,3,831,614,0,1445,3,1,3,6,0,0,2.0,484.0,3,3,0,59,0,0,0,0,0,0,138500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1504,2,1,1,0,121
138,535126040,20,137.0,16492,6,6,2002,0.0,4,3,3,3,5,1888,0,0,1888,2,1,4,6,1,4,2.0,578.0,3,3,0,0,0,0,0,0,0,0,190000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1888,3,1,1,0,55
2827,908186070,180,35.0,3675,6,5,2006,82.0,3,3,4,3,4,1072,0,0,1072,2,1,3,5,0,0,2.0,525.0,3,3,0,44,0,0,0,0,0,0,140000,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1116,2,1,1,0,16
145,535154050,20,0.0,12160,5,5,1959,180.0,3,3,3,3,2,1188,0,0,1188,3,1,3,6,0,0,2.0,531.0,3,3,0,0,0,0,0,0,0,0,142000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1188,1,1,1,1,62
1942,535353130,20,0.0,15783,5,5,1952,0.0,3,3,3,3,3,924,0,0,924,2,1,3,6,0,0,1.0,420.0,3,3,0,324,0,0,0,0,0,400,112500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1248,1,1,1,1,69
1956,535426130,60,70.0,11606,5,5,1969,192.0,3,3,4,3,3,1040,1040,0,2080,5,1,2,9,2,3,2.0,504.0,3,3,335,0,0,0,0,0,0,0,135000,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2415,3,1,1,0,52
1044,527451290,160,21.0,1680,6,5,1971,232.0,3,3,3,3,3,483,504,0,987,2,1,3,4,0,0,1.0,264.0,3,3,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,987,2,1,1,0,50
2752,906380150,20,64.0,7488,7,5,2005,0.0,4,3,4,3,5,1208,0,0,1208,2,1,4,6,0,0,2.0,632.0,3,3,105,58,0,0,0,0,0,0,183600,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1371,2,1,1,0,16
807,906226060,70,120.0,26400,5,7,2007,0.0,4,3,0,0,5,1288,728,0,2016,4,1,3,7,1,3,2.0,576.0,3,3,0,0,0,0,0,0,0,0,131000,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,1,1,1,0,141
1177,533236070,160,24.0,2645,8,5,2000,456.0,4,3,4,3,5,962,645,0,1607,3,1,4,7,0,0,2.0,480.0,3,3,169,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1776,3,1,1,0,22
1480,907418040,20,74.0,9627,7,5,2007,0.0,4,3,4,3,5,1361,0,0,1361,3,1,4,6,0,0,2.0,610.0,3,3,0,50,0,0,0,0,0,0,193000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1411,2,1,1,0,14
324,923202105,20,93.0,10114,5,5,2005,0.0,3,3,5,3,5,1430,0,0,1430,3,1,4,7,0,0,2.0,624.0,3,3,0,0,0,0,0,0,0,0,173500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1430,2,1,1,0,17
1311,902301140,70,34.0,4571,5,5,1950,0.0,3,3,3,3,2,624,720,0,1344,4,1,3,7,0,0,3.0,513.0,2,2,0,0,96,0,0,0,0,0,98000,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1344,1,0,1,0,105
770,905101490,20,80.0,8816,5,6,1963,0.0,3,3,3,3,3,1121,0,0,1121,3,1,3,5,0,0,2.0,480.0,3,3,0,80,0,0,0,0,0,0,139000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1201,1,1,1,1,58
2063,905107140,20,71.0,8197,6,5,1977,148.0,3,3,3,3,5,1285,0,0,1285,3,1,3,7,1,3,2.0,528.0,3,3,138,0,0,0,0,0,0,0,143500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1423,2,1,1,1,44
69,528458070,60,72.0,8640,7,5,2009,0.0,3,3,4,3,5,764,783,0,1547,3,1,4,7,0,0,2.0,614.0,3,3,169,45,0,0,0,0,0,0,215200,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1761,3,1,1,0,12
2062,905106150,20,109.0,8724,5,5,1968,0.0,3,3,4,3,4,894,0,0,894,3,1,3,5,1,1,2.0,450.0,3,3,0,0,0,0,0,0,0,0,129000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,894,1,1,1,0,53
351,527131030,120,40.0,5664,8,5,2000,0.0,4,3,4,3,5,1659,0,0,1659,2,1,5,5,1,5,2.0,499.0,3,3,212,59,0,0,0,0,0,0,278000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1930,2,1,1,0,21
2393,528142010,60,103.0,12867,8,5,2006,0.0,4,3,5,3,5,1209,1044,0,2253,3,1,5,8,1,4,2.0,575.0,3,3,243,142,0,0,0,0,0,0,344133,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2638,3,1,1,0,16
12,527165230,20,0.0,7980,6,7,2007,0.0,3,4,4,3,5,1187,0,0,1187,3,1,3,6,0,0,2.0,420.0,3,3,483,21,0,0,0,0,0,500,185000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1691,2,1,1,1,29
2339,527250040,190,100.0,34650,5,5,1955,0.0,3,3,3,3,3,1056,0,0,1056,3,1,3,5,0,0,2.0,572.0,3,3,264,0,0,0,0,0,0,0,145000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1320,1,0,1,0,66
624,535104120,20,92.0,10573,6,6,1961,3.0,3,3,3,3,5,1453,0,0,1453,3,1,3,6,1,3,2.0,530.0,3,3,0,49,0,0,288,0,0,0,187500,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1502,2,1,1,1,60
86,532376160,20,65.0,8450,5,8,2009,0.0,3,4,3,3,5,894,0,0,894,3,1,3,5,1,4,1.0,336.0,3,3,416,144,0,0,0,0,0,0,138500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1454,1,1,1,1,56
1534,909277040,50,0.0,11700,5,6,1995,0.0,3,3,3,3,5,1265,673,0,1938,4,1,4,7,1,4,1.0,240.0,3,3,0,40,0,0,0,0,0,0,198000,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1978,2,1,1,0,84
2243,911103060,190,75.0,8250,5,6,2006,0.0,3,4,3,3,2,1034,957,0,1991,4,2,3,9,0,0,0.0,0.0,0,0,0,0,133,0,0,0,0,0,119600,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1991,2,0,0,0,126
1957,535450190,50,60.0,8064,5,7,2006,0.0,3,4,3,3,5,672,252,0,924,3,1,3,6,1,1,2.0,576.0,3,3,0,0,0,0,0,0,0,2000,122900,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,924,1,1,1,1,72
380,527355150,20,80.0,9600,8,5,1981,0.0,4,3,4,3,3,2524,0,0,2524,4,1,4,9,1,4,2.0,542.0,3,3,474,120,0,0,0,0,0,0,278000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3118,3,1,1,1,40
2860,909276010,70,0.0,11435,8,7,1950,0.0,3,3,4,3,2,792,725,0,1517,3,1,4,7,2,4,2.0,400.0,3,3,0,0,0,0,0,0,0,0,230000,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1517,1,1,1,0,92
2517,533250130,120,30.0,9549,8,5,1996,0.0,4,4,4,4,5,1494,0,0,1494,2,1,5,6,1,4,2.0,481.0,3,3,0,30,0,0,216,0,0,0,270000,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1524,2,1,1,0,26
1933,535302070,20,60.0,10950,6,6,1952,0.0,3,3,3,3,3,948,0,0,948,2,1,3,5,0,0,2.0,410.0,3,3,0,48,0,0,0,0,0,0,125000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,996,1,1,1,0,69
820,906340110,20,79.0,10637,8,5,2008,336.0,4,3,5,3,5,1718,0,0,1718,3,1,4,7,1,4,3.0,826.0,3,3,208,44,0,0,0,0,0,0,297000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1970,2,1,1,0,14
675,535426150,20,80.0,9000,6,6,1958,82.0,3,3,4,3,2,1142,0,0,1142,2,1,3,5,1,4,1.0,384.0,3,3,0,28,64,0,0,0,0,0,113500,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1170,1,1,1,0,63
2910,923225240,160,41.0,2665,5,6,1977,0.0,3,3,3,3,5,925,550,0,1475,4,1,3,6,1,3,1.0,336.0,3,3,104,26,0,0,0,0,0,0,127000,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1605,2,1,1,0,44
21,527358140,20,105.0,11751,6,6,1977,480.0,3,3,4,3,5,1844,0,0,1844,3,1,3,7,1,3,2.0,546.0,3,3,0,122,0,0,0,0,0,0,190000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1966,2,1,1,1,44
1873,534177210,20,80.0,9600,7,6,1973,320.0,3,3,3,3,2,1242,0,0,1242,3,1,3,6,1,3,2.0,528.0,3,3,0,0,0,0,0,0,0,0,175500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1242,2,1,1,0,48
2125,907135050,20,60.0,8428,5,7,1994,0.0,3,4,4,4,5,990,0,0,990,3,1,3,5,0,0,1.0,384.0,3,3,256,0,0,0,0,0,0,0,146000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1246,1,1,1,0,27
1489,908102260,20,75.0,9937,5,6,1965,0.0,4,3,3,3,4,1256,0,0,1256,3,1,3,6,0,0,1.0,276.0,3,3,736,68,0,0,0,0,0,0,147500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2060,2,1,1,0,56
2383,528110050,20,107.0,13891,10,5,2006,0.0,5,3,5,4,5,2076,0,0,2076,2,1,5,7,1,4,3.0,850.0,3,3,216,229,0,0,0,0,0,0,465000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2521,3,1,1,0,15
983,923275040,85,0.0,9101,5,6,1978,104.0,3,4,4,3,5,1110,0,0,1110,1,1,4,4,1,3,2.0,602.0,3,3,303,30,0,0,0,0,0,0,165500,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1443,1,1,1,0,43
1325,902406090,50,81.0,12150,5,5,1954,335.0,3,3,3,3,5,1050,745,0,1795,4,1,3,7,0,0,1.0,352.0,2,3,0,0,0,0,0,0,0,0,131500,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1795,2,0,1,0,67
1378,905102170,20,70.0,11200,5,5,1965,0.0,3,3,3,3,5,1040,0,0,1040,3,1,3,5,0,0,1.0,384.0,3,3,0,0,0,0,0,0,0,0,129500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1040,1,1,1,0,56
1537,909281110,70,100.0,9670,8,6,1950,40.0,3,3,3,2,3,983,890,0,1873,4,1,3,9,2,4,2.0,786.0,2,3,0,0,207,0,0,0,0,0,257076,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1873,2,1,1,0,86
905,909101140,50,60.0,10998,5,5,1960,0.0,3,3,3,3,5,984,620,0,1604,3,1,3,6,0,0,2.0,660.0,3,3,0,68,0,0,0,0,0,0,117000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1672,2,1,1,0,80
1532,909275050,70,60.0,7200,7,6,2000,0.0,3,2,4,3,3,851,651,0,1502,3,1,3,6,1,4,1.0,270.0,3,3,0,0,112,0,0,0,0,0,149000,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1502,2,1,1,1,90
132,534475100,20,80.0,9920,5,5,1954,110.0,3,3,3,3,3,1063,0,0,1063,3,1,3,6,0,0,1.0,280.0,3,3,0,0,164,0,0,0,0,0,128000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1063,1,1,1,1,67
1078,528188090,160,36.0,2448,7,5,2004,106.0,4,3,4,3,5,764,862,0,1626,2,1,4,6,0,0,2.0,474.0,3,3,0,27,0,0,0,0,0,0,155000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1653,3,1,1,0,18
2511,533221080,160,0.0,2998,6,5,2000,513.0,4,3,4,3,5,768,756,0,1524,2,1,4,4,0,0,2.0,440.0,3,3,0,32,0,0,0,0,0,0,166000,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1556,3,1,1,0,21
912,909250220,50,65.0,7804,4,3,1950,0.0,3,3,3,3,3,1328,653,0,1981,4,1,4,7,2,3,2.0,576.0,3,3,431,44,0,0,0,0,0,0,135000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2456,2,1,1,1,93
2351,527356020,60,80.0,16692,7,5,1978,184.0,3,3,4,3,3,1392,1392,0,2784,5,1,4,12,2,3,2.0,564.0,3,3,0,112,0,0,440,519,2,2000,250000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2896,4,1,1,1,43
330,923226250,160,21.0,1476,4,7,1970,0.0,3,3,3,3,5,546,546,0,1092,3,1,3,5,0,0,0.0,0.0,0,0,200,26,0,0,0,0,0,0,76000,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1318,2,1,0,0,51
2586,535305120,20,75.0,10170,6,6,1951,522.0,3,3,3,3,3,1575,0,0,1575,2,1,4,5,1,4,2.0,400.0,3,3,0,0,0,0,0,0,0,0,155000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1575,2,1,1,0,70
224,905106140,60,80.0,9364,6,7,1969,143.0,3,3,3,3,3,663,689,0,1352,4,1,3,7,0,0,1.0,299.0,3,3,379,36,0,0,0,0,0,0,158000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1767,2,1,1,1,52
98,533212020,160,24.0,2544,7,5,2005,0.0,4,3,4,3,5,600,600,0,1200,2,1,4,4,0,0,2.0,480.0,3,3,0,172,0,0,0,0,0,0,149500,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1372,3,1,1,0,17
2565,534479300,20,82.0,9888,5,6,1975,0.0,3,4,3,3,3,936,0,0,936,2,1,3,5,0,0,1.0,240.0,3,3,0,0,160,0,0,0,0,0,121000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,936,1,1,1,1,67
1934,535304170,20,68.0,7942,6,7,1953,0.0,3,3,3,3,3,1040,0,0,1040,3,1,3,6,0,0,1.0,293.0,3,3,0,0,0,0,0,0,0,0,136000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1040,1,1,1,1,68
997,527107010,60,0.0,15038,6,5,1996,0.0,3,3,4,3,4,916,720,0,1636,3,1,3,7,1,3,2.0,386.0,3,3,168,84,0,0,0,0,0,0,173000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1888,3,1,1,0,25
64,528382020,60,92.0,11764,8,7,2007,348.0,4,3,4,3,5,1164,1106,0,2270,4,1,4,9,1,4,3.0,671.0,3,3,132,57,0,0,0,0,0,0,290000,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2459,3,1,1,0,22
1799,528458130,60,75.0,9000,8,5,2007,0.0,4,3,4,3,5,1184,1426,0,2610,4,1,5,11,1,4,2.0,550.0,3,3,208,364,0,0,0,0,0,0,303477,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3182,3,1,1,0,14
230,905109170,20,0.0,20062,7,7,2001,0.0,4,4,4,3,4,1483,0,0,1483,1,1,3,4,2,3,2.0,690.0,3,3,496,0,0,0,0,0,0,0,270000,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1979,2,1,1,0,44
1295,902109160,50,81.0,7308,5,5,1950,0.0,2,2,3,3,4,960,780,0,1740,2,1,5,6,1,4,1.0,225.0,2,2,0,0,236,0,0,0,0,0,122250,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1740,1,0,1,0,101
638,535178120,20,70.0,8750,5,5,1955,0.0,3,3,3,3,4,1382,0,0,1382,3,1,4,6,0,0,1.0,350.0,3,3,280,0,0,0,0,0,0,0,153000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1662,1,1,1,1,66
2278,923202134,20,70.0,8402,5,5,2007,0.0,3,3,4,3,5,1120,0,0,1120,3,1,3,6,0,0,0.0,0.0,0,0,0,30,0,0,0,0,0,0,147000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1150,1,1,0,0,14
2202,909252150,70,63.0,4000,7,8,1995,0.0,3,3,4,3,3,567,531,0,1098,2,1,3,5,1,4,1.0,216.0,3,3,0,0,0,0,0,0,0,0,148500,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1098,1,1,1,1,91
